log_time,data
2026-04-22 22:35:59,113.07915878295898
2026-04-22 22:36:00,82.87788848876953
2026-04-22 22:36:01,87.78913726806641
2026-04-22 22:36:02,115.87763061523438
2026-04-22 22:36:03,128.15000915527344
2026-04-22 22:36:04,133.15240478515625
2026-04-22 22:36:05,135.35364685058593
2026-04-22 22:36:06,136.3655029296875
2026-04-22 22:36:07,112.19091339111328
2026-04-22 22:36:08,88.89417572021485
2026-04-22 22:36:09,78.55728912353516
2026-04-22 22:36:10,73.97075500488282
2026-04-22 22:36:11,71.93568878173828
2026-04-22 22:36:12,71.03271484375
2026-04-22 22:36:13,70.63206329345704
2026-04-22 22:36:14,70.45429229736328
2026-04-22 22:36:15,70.3754150390625
2026-04-22 22:36:16,70.34041442871094
2026-04-22 22:36:17,70.42508087158203
2026-04-22 22:36:18,73.46094970703125
2026-04-22 22:36:19,86.76869506835938
2026-04-22 22:36:20,89.97725830078124
2026-04-22 22:36:21,86.86075134277344
2026-04-22 22:36:22,97.69322662353515
2026-04-22 22:36:23,91.74743194580078
2026-04-22 22:36:24,87.08267466227214
2026-04-22 22:36:25,86.90829428648338
2026-04-22 22:36:26,86.73391391069461
2026-04-22 22:36:27,
2026-04-22 22:36:28,
2026-04-22 22:36:29,
2026-04-22 22:36:30,
2026-04-22 22:36:31,
2026-04-22 22:36:32,
2026-04-22 22:36:33,
2026-04-22 22:36:34,
2026-04-22 22:36:35,
2026-04-22 22:36:36,
2026-04-22 22:36:37,84.81572977701823
2026-04-22 22:36:38,82.96103210449219
2026-04-22 22:36:39,81.60125732421875
2026-04-22 22:36:40,80.55499572753907
2026-04-22 22:36:41,80.072412109375
2026-04-22 22:36:42,79.85828552246093
2026-04-22 22:36:43,79.33023223876953
2026-04-22 22:36:44,78.84191436767578
2026-04-22 22:36:45,78.1321304321289
2026-04-22 22:36:46,77.5933624267578
2026-04-22 22:36:47,76.8608901977539
2026-04-22 22:36:48,76.47759552001953
2026-04-22 22:36:49,76.30752410888672
2026-04-22 22:36:50,76.65393981933593
2026-04-22 22:36:51,82.7250259399414
2026-04-22 22:36:52,86.90243682861328
2026-04-22 22:36:53,88.56534118652344
2026-04-22 22:36:54,88.86025848388672
2026-04-22 22:36:55,110.19202575683593
2026-04-22 22:36:56,130.3812683105469
2026-04-22 22:36:57,134.02899169921875
2026-04-22 22:36:58,109.19364929199219
2026-04-22 22:36:59,94.73525848388672
2026-04-22 22:37:00,88.3199966430664
2026-04-22 22:37:01,85.47350616455078
2026-04-22 22:37:02,88.54340934753418
2026-04-22 22:37:03,89.3698237492488
2026-04-22 22:37:04,90.19623815096341
2026-04-22 22:37:05,
2026-04-22 22:37:06,
2026-04-22 22:37:07,
2026-04-22 22:37:08,
2026-04-22 22:37:09,
2026-04-22 22:37:10,
2026-04-22 22:37:11,
2026-04-22 22:37:12,
2026-04-22 22:37:13,
2026-04-22 22:37:14,
2026-04-22 22:37:15,99.28679656982422
2026-04-22 22:37:16,108.06692199707031
2026-04-22 22:37:17,116.20955657958984
2026-04-22 22:37:18,119.37956390380859
2026-04-22 22:37:19,120.76776275634765
2026-04-22 22:37:20,121.38371276855469
2026-04-22 22:37:21,121.46637725830078
2026-04-22 22:37:22,121.06013488769531
2026-04-22 22:37:23,120.86153411865234
2026-04-22 22:37:24,104.31765899658203
2026-04-22 22:37:25,88.96297302246094
2026-04-22 22:37:26,82.49925994873047
2026-04-22 22:37:27,80.06432342529297
2026-04-22 22:37:28,79.20279235839844
2026-04-22 22:37:29,78.62988891601563
2026-04-22 22:37:30,77.93276977539062
2026-04-22 22:37:31,77.6051010131836
2026-04-22 22:37:32,77.45971221923828
2026-04-22 22:37:33,77.36004638671875
2026-04-22 22:37:34,76.82270965576171
2026-04-22 22:37:35,76.46065368652344
2026-04-22 22:37:36,76.30000762939453
2026-04-22 22:37:37,76.22872924804688
2026-04-22 22:37:38,76.19710235595703
2026-04-22 22:37:39,76.18306732177734
2026-04-22 22:37:40,76.17684173583984
2026-04-22 22:37:41,75.99906158447266
2026-04-22 22:37:42,75.96795842097356
2026-04-22 22:37:43,75.93685525747446
2026-04-22 22:37:44,
2026-04-22 22:37:45,
2026-04-22 22:37:46,
2026-04-22 22:37:47,
2026-04-22 22:37:48,
2026-04-22 22:37:49,
2026-04-22 22:37:50,
2026-04-22 22:37:51,
2026-04-22 22:37:52,
2026-04-22 22:37:53,
2026-04-22 22:37:54,75.59472045898437
2026-04-22 22:37:55,74.63541564941406
2026-04-22 22:37:56,73.4020751953125
2026-04-22 22:37:57,71.72993927001953
2026-04-22 22:37:58,70.00520324707031
2026-04-22 22:37:59,68.8723358154297
2026-04-22 22:38:00,67.93662872314454
2026-04-22 22:38:01,67.3025909423828
2026-04-22 22:38:02,67.0212631225586
2026-04-22 22:38:03,66.89643859863281
2026-04-22 22:38:04,66.84105072021484
2026-04-22 22:38:05,95.39752044677735
2026-04-22 22:38:06,122.51304931640625
2026-04-22 22:38:07,134.97740173339844
2026-04-22 22:38:08,140.7267608642578
2026-04-22 22:38:09,143.277783203125
2026-04-22 22:38:10,144.40968627929686
2026-04-22 22:38:11,144.91191711425782
2026-04-22 22:38:12,145.13475952148437
2026-04-22 22:38:13,132.21905822753905
2026-04-22 22:38:14,111.47083435058593
2026-04-22 22:38:15,106.07743225097656
2026-04-22 22:38:16,112.54277648925782
2026-04-22 22:38:17,115.77852020263671
2026-04-22 22:38:18,117.21423645019532
2026-04-22 22:38:19,117.72572326660156
2026-04-22 22:38:20,117.73731192564352
2026-04-22 22:38:21,117.7489005846855
2026-04-22 22:38:22,
2026-04-22 22:38:23,
2026-04-22 22:38:24,
2026-04-22 22:38:25,
2026-04-22 22:38:26,
2026-04-22 22:38:27,
2026-04-22 22:38:28,
2026-04-22 22:38:29,
2026-04-22 22:38:30,
2026-04-22 22:38:31,
2026-04-22 22:38:32,117.87637583414714
2026-04-22 22:38:33,117.59005584716797
2026-04-22 22:38:34,117.36611633300781
2026-04-22 22:38:35,117.26675415039062
2026-04-22 22:38:36,116.78961791992188
2026-04-22 22:38:37,116.35904998779297
2026-04-22 22:38:38,116.16800384521484
2026-04-22 22:38:39,115.65019226074219
2026-04-22 22:38:40,115.16641540527344
2026-04-22 22:38:41,114.45864715576172
2026-04-22 22:38:42,113.58792266845703
2026-04-22 22:38:43,112.6800537109375
2026-04-22 22:38:44,111.92798461914063
2026-04-22 22:38:45,111.594287109375
2026-04-22 22:38:46,111.44622192382812
2026-04-22 22:38:47,97.32757568359375
2026-04-22 22:38:48,75.1282455444336
2026-04-22 22:38:49,65.27828445434571
2026-04-22 22:38:50,60.907806396484375
2026-04-22 22:38:51,59.06879653930664
2026-04-22 22:38:52,58.746237182617186
2026-04-22 22:38:53,58.66140899658203
2026-04-22 22:38:54,61.517755126953126
2026-04-22 22:38:55,97.52205505371094
2026-04-22 22:38:56,122.15190124511719
2026-04-22 22:38:57,132.43477630615234
2026-04-22 22:38:58,132.71844541109525
2026-04-22 22:38:59,133.00211451603815
2026-04-22 22:39:00,
2026-04-22 22:39:01,
2026-04-22 22:39:02,
2026-04-22 22:39:03,
2026-04-22 22:39:04,
2026-04-22 22:39:05,
2026-04-22 22:39:06,
2026-04-22 22:39:07,
2026-04-22 22:39:08,
2026-04-22 22:39:09,
2026-04-22 22:39:10,136.12247467041016
2026-04-22 22:39:11,136.45005798339844
2026-04-22 22:39:12,106.24864654541015
2026-04-22 22:39:13,85.25640869140625
2026-04-22 22:39:14,76.2912841796875
2026-04-22 22:39:15,72.31341094970703
2026-04-22 22:39:16,70.54840698242188
2026-04-22 22:39:17,69.95589904785156
2026-04-22 22:39:18,76.99877471923828
2026-04-22 22:39:19,96.08725280761719
2026-04-22 22:39:20,105.21757659912109
2026-04-22 22:39:21,109.23359375
2026-04-22 22:39:22,110.52240753173828
2026-04-22 22:39:23,110.97062225341797
2026-04-22 22:39:24,111.16950073242188
2026-04-22 22:39:25,111.15754699707031
2026-04-22 22:39:26,110.65882415771485
2026-04-22 22:39:27,110.34408874511719
2026-04-22 22:39:28,109.7113250732422
2026-04-22 22:39:29,108.8738800048828
2026-04-22 22:39:30,108.24828491210937
2026-04-22 22:39:31,107.477587890625
2026-04-22 22:39:32,107.01199035644531
2026-04-22 22:39:33,99.27044982910157
2026-04-22 22:39:34,78.0681396484375
2026-04-22 22:39:35,67.8513900756836
2026-04-22 22:39:36,67.492365864345
2026-04-22 22:39:37,67.13334165300643
2026-04-22 22:39:38,
2026-04-22 22:39:39,
2026-04-22 22:39:40,
2026-04-22 22:39:41,
2026-04-22 22:39:42,
2026-04-22 22:39:43,
2026-04-22 22:39:44,
2026-04-22 22:39:45,
