log_time,publish_time,data
2026-04-30 23:09:30.218641,2026-04-30 23:09:30.218641,119.0558624267578
2026-04-30 23:09:30.418554,2026-04-30 23:09:30.418554,120.88497924804688
2026-04-30 23:09:30.617611,2026-04-30 23:09:30.617611,122.43973541259766
2026-04-30 23:09:30.819180,2026-04-30 23:09:30.819180,123.7612762451172
2026-04-30 23:09:31.018434,2026-04-30 23:09:31.018434,124.88458251953124
2026-04-30 23:09:31.219338,2026-04-30 23:09:31.219338,125.83939361572266
2026-04-30 23:09:31.417771,2026-04-30 23:09:31.417771,126.65098571777344
2026-04-30 23:09:31.617927,2026-04-30 23:09:31.617927,127.34083557128906
2026-04-30 23:09:31.818048,2026-04-30 23:09:31.818048,127.92721557617188
2026-04-30 23:09:32.018137,2026-04-30 23:09:32.018137,128.42562866210938
2026-04-30 23:09:32.217942,2026-04-30 23:09:32.217942,128.8492889404297
2026-04-30 23:09:32.419133,2026-04-30 23:09:32.419133,129.2093963623047
2026-04-30 23:09:32.617933,2026-04-30 23:09:32.617933,129.51548767089844
2026-04-30 23:09:32.821316,2026-04-30 23:09:32.821316,124.50222778320312
2026-04-30 23:09:33.022942,2026-04-30 23:09:33.022942,120.24095153808594
2026-04-30 23:09:33.218915,2026-04-30 23:09:33.218915,116.6188735961914
2026-04-30 23:09:33.419139,2026-04-30 23:09:33.419139,113.54010772705078
2026-04-30 23:09:33.618090,2026-04-30 23:09:33.618090,110.92314910888672
2026-04-30 23:09:33.821279,2026-04-30 23:09:33.821279,108.69873809814452
2026-04-30 23:09:34.017613,2026-04-30 23:09:34.017613,106.80799102783205
2026-04-30 23:09:34.219102,2026-04-30 23:09:34.219102,105.20085906982422
2026-04-30 23:09:34.418704,2026-04-30 23:09:34.418704,103.83479309082033
2026-04-30 23:09:34.620060,2026-04-30 23:09:34.620060,102.67363739013672
2026-04-30 23:09:34.819132,2026-04-30 23:09:34.819132,101.68665313720705
2026-04-30 23:09:35.019815,2026-04-30 23:09:35.019815,100.84771728515624
2026-04-30 23:09:35.219181,2026-04-30 23:09:35.219181,100.1346206665039
2026-04-30 23:09:35.421572,2026-04-30 23:09:35.421572,99.52848815917967
