log_time,publish_time,data
2026-05-01 08:38:58.598695,2026-05-01 08:38:58.598695,22.098403930664062
2026-05-01 08:38:58.798407,2026-05-01 08:38:58.798407,21.94770622253418
2026-05-01 08:38:59.000566,2026-05-01 08:38:59.000566,21.64383125305176
2026-05-01 08:38:59.199447,2026-05-01 08:38:59.199447,21.38553810119629
2026-05-01 08:38:59.398320,2026-05-01 08:38:59.398320,21.16598892211914
2026-05-01 08:38:59.599941,2026-05-01 08:38:59.599941,20.979372024536133
2026-05-01 08:38:59.797797,2026-05-01 08:38:59.797797,20.82074737548828
2026-05-01 08:38:59.997938,2026-05-01 08:38:59.997938,20.68591690063477
2026-05-01 08:39:00.202687,2026-05-01 08:39:00.202687,20.57131004333496
2026-05-01 08:39:00.405508,2026-05-01 08:39:00.405508,20.47389411926269
2026-05-01 08:39:00.598566,2026-05-01 08:39:00.598566,20.39109230041504
2026-05-01 08:39:00.797992,2026-05-01 08:39:00.797992,20.144927978515625
2026-05-01 08:39:00.998569,2026-05-01 08:39:00.998569,19.935688018798828
2026-05-01 08:39:01.198043,2026-05-01 08:39:01.198043,19.757835388183597
2026-05-01 08:39:01.400778,2026-05-01 08:39:01.400778,19.606660842895508
2026-05-01 08:39:01.599041,2026-05-01 08:39:01.599041,19.478160858154297
2026-05-01 08:39:01.799063,2026-05-01 08:39:01.799063,19.36893653869629
2026-05-01 08:39:01.998725,2026-05-01 08:39:01.998725,19.27609634399414
2026-05-01 08:39:02.199739,2026-05-01 08:39:02.199739,19.02140045166016
2026-05-01 08:39:02.398392,2026-05-01 08:39:02.398392,18.804908752441406
2026-05-01 08:39:02.598712,2026-05-01 08:39:02.598712,18.44511032104492
2026-05-01 08:39:02.797953,2026-05-01 08:39:02.797953,18.3150634765625
2026-05-01 08:39:02.998073,2026-05-01 08:39:02.998073,18.20452117919922
2026-05-01 08:39:03.198023,2026-05-01 08:39:03.198023,17.934782028198242
2026-05-01 08:39:03.398708,2026-05-01 08:39:03.398708,17.705501556396484
2026-05-01 08:39:03.597834,2026-05-01 08:39:03.597834,17.5106143951416
2026-05-01 08:39:03.802971,2026-05-01 08:39:03.802971,17.344959259033203
2026-05-01 08:39:03.998459,2026-05-01 08:39:03.998459,17.204153060913086
2026-05-01 08:39:04.199309,2026-05-01 08:39:04.199309,17.0844669342041
2026-05-01 08:39:04.398645,2026-05-01 08:39:04.398645,16.98273468017578
2026-05-01 08:39:04.598401,2026-05-01 08:39:04.598401,16.89626121520996
2026-05-01 08:39:04.797855,2026-05-01 08:39:04.797855,16.8227596282959
2026-05-01 08:39:04.999917,2026-05-01 08:39:04.999917,16.760284423828125
2026-05-01 08:39:05.198578,2026-05-01 08:39:05.198578,16.707178115844727
2026-05-01 08:39:05.399349,2026-05-01 08:39:05.399349,16.662038803100586
2026-05-01 08:39:05.603549,2026-05-01 08:39:05.603549,16.62367057800293
2026-05-01 08:39:05.800186,2026-05-01 08:39:05.800186,16.5910587310791
2026-05-01 08:39:06.001282,2026-05-01 08:39:06.001282,16.563337326049805
2026-05-01 08:39:06.202775,2026-05-01 08:39:06.202775,16.53977394104004
2026-05-01 08:39:06.399787,2026-05-01 08:39:06.399787,16.519744873046875
2026-05-01 08:39:06.600154,2026-05-01 08:39:06.600154,16.502721786499023
2026-05-01 08:39:06.806307,2026-05-01 08:39:06.806307,16.664031982421875
2026-05-01 08:39:07.000670,2026-05-01 08:39:07.000670,16.625364303588867
2026-05-01 08:39:07.201385,2026-05-01 08:39:07.201385,16.768278121948242
2026-05-01 08:39:07.398253,2026-05-01 08:39:07.398253,16.889755249023438
2026-05-01 08:39:07.598718,2026-05-01 08:39:07.598718,16.993011474609375
2026-05-01 08:39:07.797753,2026-05-01 08:39:07.797753,17.080778121948242
2026-05-01 08:39:07.998709,2026-05-01 08:39:07.998709,17.155380249023438
2026-05-01 08:39:08.199999,2026-05-01 08:39:08.199999,17.218791961669922
2026-05-01 08:39:08.399479,2026-05-01 08:39:08.399479,17.27269172668457
2026-05-01 08:39:08.598624,2026-05-01 08:39:08.598624,17.318506240844727
2026-05-01 08:39:08.803227,2026-05-01 08:39:08.803227,17.35744857788086
2026-05-01 08:39:08.999661,2026-05-01 08:39:08.999661,17.39055061340332
2026-05-01 08:39:09.200297,2026-05-01 08:39:09.200297,17.59446907043457
2026-05-01 08:39:09.399604,2026-05-01 08:39:09.399604,17.767797470092773
2026-05-01 08:39:09.598541,2026-05-01 08:39:09.598541,17.915128707885742
2026-05-01 08:39:09.799572,2026-05-01 08:39:09.799572,16.634109497070312
2026-05-01 08:39:09.998441,2026-05-01 08:39:09.998441,16.951492309570312
2026-05-01 08:39:10.201208,2026-05-01 08:39:10.201208,17.221269607543945
2026-05-01 08:39:10.398244,2026-05-01 08:39:10.398244,17.450578689575195
2026-05-01 08:39:10.601099,2026-05-01 08:39:10.601099,17.821273803710938
2026-05-01 08:39:10.805134,2026-05-01 08:39:10.805134,18.136363983154297
2026-05-01 08:39:10.997892,2026-05-01 08:39:10.997892,18.40419006347656
2026-05-01 08:39:11.200879,2026-05-01 08:39:11.200879,18.63184356689453
2026-05-01 08:39:11.402556,2026-05-01 08:39:11.402556,18.825347900390625
2026-05-01 08:39:11.601413,2026-05-01 08:39:11.601413,18.989826202392575
2026-05-01 08:39:11.805157,2026-05-01 08:39:11.805157,19.30541610717773
2026-05-01 08:39:12.000670,2026-05-01 08:39:12.000670,19.573665618896484
2026-05-01 08:39:12.198841,2026-05-01 08:39:12.198841,19.801677703857425
2026-05-01 08:39:12.399781,2026-05-01 08:39:12.399781,19.9954891204834
2026-05-01 08:39:12.598525,2026-05-01 08:39:12.598525,20.160228729248047
2026-05-01 08:39:12.798364,2026-05-01 08:39:12.798364,20.300256729125977
2026-05-01 08:39:12.998077,2026-05-01 08:39:12.998077,20.24349975585937
2026-05-01 08:39:13.199519,2026-05-01 08:39:13.199519,20.371036529541016
2026-05-01 08:39:13.400702,2026-05-01 08:39:13.400702,20.47944450378418
2026-05-01 08:39:13.599613,2026-05-01 08:39:13.599613,20.571590423583984
2026-05-01 08:39:13.799684,2026-05-01 08:39:13.799684,20.6499137878418
2026-05-01 08:39:13.997826,2026-05-01 08:39:13.997826,20.71648979187012
2026-05-01 08:39:14.201827,2026-05-01 08:39:14.201827,20.77307891845703
2026-05-01 08:39:14.398623,2026-05-01 08:39:14.398623,20.821178436279297
2026-05-01 08:39:14.600701,2026-05-01 08:39:14.600701,20.862064361572266
2026-05-01 08:39:14.798225,2026-05-01 08:39:14.798225,20.896818161010746
2026-05-01 08:39:14.998048,2026-05-01 08:39:14.998048,20.92635726928711
2026-05-01 08:39:15.198908,2026-05-01 08:39:15.198908,20.951465606689453
2026-05-01 08:39:15.398554,2026-05-01 08:39:15.398554,20.972808837890625
2026-05-01 08:39:15.598444,2026-05-01 08:39:15.598444,20.990949630737305
2026-05-01 08:39:15.798094,2026-05-01 08:39:15.798094,21.006370544433597
2026-05-01 08:39:15.997891,2026-05-01 08:39:15.997891,21.19525909423828
2026-05-01 08:39:16.199486,2026-05-01 08:39:16.199486,21.18003273010254
2026-05-01 08:39:16.397916,2026-05-01 08:39:16.397916,21.167089462280277
2026-05-01 08:39:16.598906,2026-05-01 08:39:16.598906,21.33186912536621
2026-05-01 08:39:16.799211,2026-05-01 08:39:16.799211,21.471933364868164
2026-05-01 08:39:16.998975,2026-05-01 08:39:16.998975,21.59098625183105
2026-05-01 08:39:17.198237,2026-05-01 08:39:17.198237,21.692182540893555
2026-05-01 08:39:17.397861,2026-05-01 08:39:17.397861,21.7781982421875
2026-05-01 08:39:17.598990,2026-05-01 08:39:17.598990,21.8513126373291
2026-05-01 08:39:17.800445,2026-05-01 08:39:17.800445,21.91345977783203
2026-05-01 08:39:17.998286,2026-05-01 08:39:17.998286,21.966283798217773
2026-05-01 08:39:18.198538,2026-05-01 08:39:18.198538,22.01118469238281
